trial,t,X1,X2,X3,X4,X5
1,0.0,1,23,25,3,5
1,0.009298842376821135,2,22,25,3,5
1,0.01893292680613337,3,21,25,3,5
1,0.02097387262004714,4,20,25,3,5
1,0.025573472348764684,4,20,25,2,4
1,0.030416830998615564,3,21,25,2,4
1,0.05611843974246353,3,21,25,2,6
1,0.06074806511489488,2,22,25,2,6
1,0.06477930220081332,2,22,25,3,7
1,0.06521518201420949,2,22,25,4,8
1,0.07168074532388097,2,22,25,5,9
1,0.07182920928614203,2,22,25,5,7
1,0.07256697804037364,3,21,25,5,7
1,0.0754258628883423,3,21,25,5,9
1,0.08401664293265512,3,21,25,5,7
1,0.086163591856,3,21,25,3,7
1,0.09066735355070832,3,21,25,3,9
1,0.0975850513850607,2,22,25,3,9
1,0.10111246078527918,2,22,25,1,9
1,0.10509401790999655,2,22,25,1,7
1,0.11824790173377608,2,22,25,1,9
1,0.1367555503289393,2,22,25,1,11
1,0.14480927769826346,2,22,25,1,9
1,0.1482921332816851,3,21,25,1,9
1,0.1805553218047372,3,21,25,2,10
1,0.18317140589935074,3,21,25,2,8
1,0.18817876762493377,2,22,25,2,8
1,0.18930938562077987,3,21,25,2,8
1,0.20913881820045482,2,22,25,2,8
1,0.21844887984737507,2,22,25,3,9
1,0.2198373891411229,3,21,25,3,9
1,0.22153710043411,4,20,25,3,9
1,0.2267999132416228,4,20,25,3,7
1,0.2398536283491708,4,20,25,3,9
1,0.24182946614638146,4,20,25,3,11
1,0.24248509886127512,4,20,25,4,12
1,0.24399675699772752,4,20,25,2,12
1,0.24589527094010857,3,21,25,2,12
1,0.24597718865650978,3,21,25,1,11
1,0.2570195383482212,4,20,25,1,11
1,0.2584676463896356,4,20,25,1,9
1,0.2670482916698839,5,19,25,1,9
1,0.2711251108313462,5,19,25,1,7
1,0.27540811190965514,4,20,25,1,7
1,0.2795083740983861,4,20,25,2,8
1,0.2824308866203847,4,20,25,4,8
1,0.28454630946482307,5,19,25,4,8
1,0.28541874182893767,5,19,25,4,6
1,0.29746672636092075,6,18,25,4,6
1,0.3126867719545411,6,18,25,2,6
1,0.31496209336893755,7,17,25,2,6
1,0.3347878879161573,7,17,25,3,7
1,0.33596949887862954,7,17,25,3,9
1,0.3409116901680659,7,17,25,4,10
1,0.34404208480831666,8,16,25,4,10
1,0.3458349714791154,8,16,25,3,9
1,0.357415680533753,8,16,25,3,7
1,0.36295200614862727,7,17,25,3,7
1,0.37070761099089644,7,17,25,3,9
1,0.3798762733992292,6,18,25,3,9
1,0.3815430275705797,5,19,25,3,9
1,0.38215698775733664,6,18,25,3,9
1,0.3836004076074619,6,18,25,4,10
1,0.38493051225317126,6,18,25,3,9
1,0.38740050646583085,6,18,25,3,7
1,0.38847709883907094,6,18,25,4,8
1,0.3915593191443292,5,19,25,4,8
1,0.39279162055765926,6,18,25,4,8
1,0.3951763740655446,5,19,25,4,8
1,0.39999119099621894,5,19,25,3,7
1,0.40325700197609726,5,19,25,4,8
1,0.40428356626982237,5,19,25,3,7
1,0.4070850913008204,4,20,25,3,7
1,0.4145788355963542,4,20,25,3,9
